VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
ALL_A,Total Construction (Annual),Construction,USD,Annual,,,,
ALL_COEFF_M,"Total Construction: Coefficienct of Variation, Monthly Estimate",Construction,Percent,Monthly,,,,
ALL_COEFF_YTD,"Total Construction: Coefficient of Variation, Year-to-date estimate",Construction,Percent,Monthly,,,,
ALL_NONRES_A,Total Nonresidential Construction (Annual),Nonresidential Construction,USD,Annual,,,,
ALL_NONRES_AMUSEMENT_A,Nonresidential Construction: Amusement And Recreation (Annual),Nonresidential Construction,USD,Annual,,,Amusement and recreation,
ALL_NONRES_AMUSEMENT_COEFF_M,"Nonresidential Construction: Amusement And Recreation: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
ALL_NONRES_AMUSEMENT_COEFF_YTD,"Nonresidential Construction: Amusement And Recreation: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
ALL_NONRES_AMUSEMENT_NSA,Nonresidential Construction: Amusement And Recreation (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Amusement and recreation,false
ALL_NONRES_AMUSEMENT_SA,Nonresidential Construction: Amusement And Recreation (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Amusement and recreation,true
ALL_NONRES_AMUSEMENT_STD_ERR_MM,"Nonresidential Construction: Amusement And Recreation: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
ALL_NONRES_AMUSEMENT_STD_ERR_MM_PY,"Nonresidential Construction: Amusement And Recreation: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
ALL_NONRES_AMUSEMENT_STD_ERR_YTD,"Nonresidential Construction: Amusement And Recreation: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
ALL_NONRES_COEFF_M,"Total Nonresidential Construction: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,,
ALL_NONRES_COEFF_YTD,"Total Nonresidential Construction: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,,
ALL_NONRES_COMMERCIAL_A,Nonresidential Construction: Commercial (Annual),Nonresidential Construction,USD,Annual,,,Commercial,
ALL_NONRES_COMMERCIAL_COEFF_M,"Nonresidential Construction: Commercial: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Commercial,
ALL_NONRES_COMMERCIAL_COEFF_YTD,"Nonresidential Construction: Commercial: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Commercial,
ALL_NONRES_COMMERCIAL_NSA,Nonresidential Construction: Commercial (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Commercial,false
ALL_NONRES_COMMERCIAL_SA,Nonresidential Construction: Commercial (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Commercial,true
ALL_NONRES_COMMERCIAL_STD_ERR_MM,"Nonresidential Construction: Commercial: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Commercial,
ALL_NONRES_COMMERCIAL_STD_ERR_MM_PY,"Nonresidential Construction: Commercial: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Commercial,
ALL_NONRES_COMMERCIAL_STD_ERR_YTD,"Nonresidential Construction: Commercial: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Commercial,
ALL_NONRES_COMMUNICATION_A,Nonresidential Construction: Communication (Annual),Nonresidential Construction,USD,Annual,,,Communication,
ALL_NONRES_COMMUNICATION_NSA,Nonresidential Construction: Communication (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Communication,false
ALL_NONRES_COMMUNICATION_SA,Nonresidential Construction: Communication (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Communication,true
ALL_NONRES_CONSERVATION_A,Nonresidential Construction: Conservation And Development (Annual),Nonresidential Construction,USD,Annual,,,Conservation and development,
ALL_NONRES_CONSERVATION_COEFF_M,"Nonresidential Construction: Conservation And Development: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Conservation and development,
ALL_NONRES_CONSERVATION_COEFF_YTD,"Nonresidential Construction: Conservation And Development: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Conservation and development,
ALL_NONRES_CONSERVATION_NSA,Nonresidential Construction: Conservation And Development (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Conservation and development,false
